inflation,kurs
0.0416,9175
0.0505,9060
0.0622,8940
0.0644,9035
0.058,8925
0.0567,8938
0.0633,9034
0.0696,9010
0.0702,9048
0.0684,8822
0.0665,8708
0.0616,8564
0.0598,8536
0.0554,8577
0.0461,8500
0.0479,8533
0.0461,8790
0.0442,8853
0.0415,9110
0.0379,9068
0.0365,8990
0.0356,9020
0.0397,9144
0.045,9191
0.0445,9400
0.0453,9393
0.0456,9445
0.0458,9535
0.0431,9570
0.0461,9605
0.0432,9594
0.043,9638
0.0457,9763
0.0531,9664
0.059,9718
0.0557,9723
0.0547,9795
0.059,9925
0.0861,10278
0.0879,10920
0.084,11580
0.0832,11273
0.0837,11963
0.0838,12170
0.0822,12210
0.0775,11609
0.0732,11360
0.0725,11562
0.0732,11675
0.067,11855
0.0453,11578
0.0399,11690
0.0453,12185
0.0483,12085
0.0623,12204
0.0836,12385
0.0696,12668
0.0629,12925
0.0638,13075
0.0679,12963
0.0715,13224
0.0726,13333
0.0726,13528
0.0718,14050
0.0683,14650
0.0625,13688
0.0489,13835
0.0335,13788
0.0414,13775
0.0442,13372
0.0445,13260
0.036,13185
0.0333,13660
0.0345,13213
0.0321,13099
0.0279,13268
0.0307,13051
0.0331,13048
0.0358,13553
0.0302,13473
